Name;IPS10   ;IPS11   ;IPS299  ;IPS12   ;IPS13   ;IPS18   ;IPS25   ;IPS32   ;IPS34   ;IPS38   ;IPS43   ;IPS307  ;IPS306  ;PMP     ;UTL11   ;CES275  ;CES277  ;CES278  ;CES275R  ;CES277R  ;CES278 R ;CES002  ;CES003  ;CES006  ;CES011  ;CES015  ;CES017  ;CES033  ;CES046  ;CES048  ;CES049  ;CES053  ;CES088  ;CES140  ;LHEL    ;LHELX   ;LHEM    ;LHNAG   ;LHUR    ;LHU680  ;LHU5    ;LHU14   ;LHU15   ;LHU26   ;LHU27   ;CES151  ;CES155  ;HSBR    ;HSFR    ;HSNE    ;HSMW    ;HSSOU   ;HSWST   ;FYFF    ;FYGM3   ;FYGM6   ;FYGT1   ;FYGT5   ;FYGT10  ;FYAAAC  ;FYBAAC  ;Sfygm6;Sfygt1;Sfygt10;sFYAAAC  ;sFYBAAC  ;FM1     ;MZMSL;FM2;FMFBA   ;FMRRA   ;FMRNBA  ;BUSLOANS;CCINRV  ;PI071   ;PI072   ;PI073   ;PI074   ;CPIAUCSL;CPILFESL;PCEPILFE;PWFSA   ;PWFCSA  ;PWIMSA  ;PWCMSA  ;PWCMSAR ;PSCCOM  ;PSCCOMR ;PW561   ;PW561R   ;PMCP    ;EXRUS   ;EXRSW   ;EXRJAN  ;EXRUK   ;EXRCAN  ;FSPCOM  ;FSPIN   ;FSDXP   ;FSPXE   ;FSDJ    ;HHSNTN  ;PMI     ;PMNO    ;PMDEL   ;PMNV    ;MOCMQ   ;MSONDQ  
2\1\1959;25,038;24,3272;23,6939;30,2611;18,5657;36,4752;11,2141;25,4603;16,732;29,1;22,7743;20,1084;44,7801;70,3;81,4428;2,13;2,46;2,05;10,4848634;12,10927886;10,09106571;44571;18890;704,2;2980;15115;8839;6276;33797;10830;2594,5;5379,8;2420;8116;34;0,636;63684;58255;5,9;15,5;1554;1164;1277;545;732;39,7;2,6;1542;1667;346;469;508;344;2,43;2,7;3,13;3,54;3,96;3,96;4,14;4,89;0,43;0,84;1,26;0,18;0,93;139,4;276,0;287,7;40605;11129;10624;35,7;49513,71;20,315;45,531;22,655;15,366;29,000;29,900;20,866;33,2;33,4;30,7;31,4;150,484041;99,3;475,8937985;13,5;64,69855267;66,6;105,38;4,3134;359,84;280,9346;0,9748;54,77;58,33;3,32;19,43;590,72;95,8;66,9;70,5;67,3;55,5;50,383;9,788
3\1\1959;25,3987;24,4745;23,8102;30,2611;18,9293;36,3025;11,3352;26,1216;17,3912;29,5372;23,1306;20,2456;45,9138;71,2;82,4769;2,15;2,45;2,07;10,58279189;12,05946052;10,18901359;44884;19069;704,1;3013;15259;8965;6294;33947;10889;2603,8;5431,5;2430;8132;36;0,702;64267;58590;5,6;15,3;1459;1093;1210;530;680;40;2,8;1611;1620;330;413;503;374;2,8;2,8;3,13;3,61;3,99;3,99;4,13;4,85;0,33;0,81;1,19;0,14;0,86;139,7;277,4;289,2;40615;11081;10482;35,9;50007,73;20,316;45,587;22,642;15,372;28,970;30,000;20,884;33,2;33,3;30,7;31,5;150,8331737;101,1;484,1026623;13,5;64,64278874;68,9;105,23;4,3228;359,84;281,2708;0,9698;56,15;59,79;3,25;19,95;609,1201;96,4;67,1;70,2;66,3;58,4;51,285;11,058
4\1\1959;25,9397;24,8279;24,1591;30,7385;19,0505;36,9068;11,6314;26,8431;17,9147;30,4519;23,6239;20,3279;45,7076;72,1;83,9922;2,16;2,47;2,08;10,61633736;12,13997837;10,22313968;45178;19269;705,2;3085;15385;9077;6308;34051;10920;2614,6;5393,7;2439;8142;38;0,789;64768;58875;5,2;14,9;1494;934;1039;408;631;40,1;2,9;1539;1590;275;391;536;388;2,96;2,95;3,27;3,72;4,12;4,12;4,23;4,86;0,32;0,77;1,17;0,11;0,74;139,7;278,1;290,1;40694;11116;10424;36,2;50463,43;20,346;45,637;22,677;15,394;28,980;30,000;20,926;33,2;33,4;30,7;31,7;151,4861894;102,4;489,3434006;13,6;64,99092039;63,6;105,02;4,3226;359,84;281,6531;0,9636;57,1;60,92;3,26;20,1;616,99;96,9;66,9;66,9;64,8;63,4;50,864;10,034
5\1\1959;26,3305;25,034;24,3917;30,8854;19,4383;36,9068;12,0083;27,5344;18,5351;30,7255;23,9528;20,6296;44,8316;73,9;84,9159;2,17;2,48;2,08;10,66339066;12,18673219;10,22113022;45396;19378;710;3087;15487;9160;6327;34171;10965;2626,7;5454,8;2447;8153;38;0,81;64699;58907;5,1;14,7;1479;1005;965;390;575;40,3;2,9;1513;1498;260;355;487;396;2,9;2,84;3,33;3,96;4,35;4,31;4,37;4,96;0,49;1,12;1,47;0,06;0,65;140,7;280,1;292,2;40731;11058;10317;36,9;51007,24;20,35;45,716;22,676;15,394;29,040;30,100;20,945;33,3;33,3;30,9;31,5;150,3938888;103,5;494,1513488;13,6;64,93196467;65,1;105,01;4,3228;359,84;281,4541;0,963;57,96;62,09;3,21;20,09;630,8;97,5;68,2;69,9;63;63,8;49,844;10,514
6\1\1959;26,3606;25,2108;24,5661;30,7386;19,5837;36,6479;12,2911;27,3541;18,3994;30,6334;23,9802;20,7394;44,8316;66,3;84,7686;2,18;2,5;2,09;10,68679837;12,25550272;10,24560027;45535;19462;715;3100;15554;9209;6345;34216;10983;2633,2;5466,3;2454;8143;40;0,865;64849;59137;5;14,9;1522;963;963;415;548;40,2;2,9;1490;1503;254;343;518;388;3,39;3,21;3,52;4,07;4,5;4,34;4,46;5,04;0,31;0,86;1,13;0,12;0,7;141,2;281,9;294,1;40750;10972;10043;37,5;51675,44;20,399;45,808;22,729;15,435;29,110;30,200;21,003;33,2;33,4;30,9;31,3;149,0263296;103,4;492,3106223;13,6;64,75265438;69,5;104,88;4,3114;359,84;281,2537;0,959;57,46;61,75;3,23;18,97;631,51;97,2;64,4;64,2;63,7;65,6;49,918;10,708
7\1\1959;25,7293;25,2402;24,7696;31,1425;19,9715;36,95;12,318;25,7309;16,5575;30,7786;23,5417;21,0137;43,801;64,8;82,9798;2,18;2,51;2,09;10,66692763;12,28164603;10,22654989;45630;19529;725,3;3087;15623;9266;6357;34274;10993;2638,9;5470;2460;8173;42;0,883;65011;59447;5,1;14,3;1591;1047;889;394;495;39,8;2,8;1452;1547;271;371;533;372;3,47;3,2;3,82;4,39;4,58;4,4;4,47;5,08;0,62;1,19;1,2;0,07;0,68;141,7;283,1;295,2;40896;11109;10148;37,9;52356,85;20,437;45,828;22,768;15,474;29,150;30,200;21,046;33,1;33,3;30,8;31;147,2963984;101,9;484,1775159;13,6;64,62035541;63,9;105,12;4,3095;359,84;281,1653;0,9573;59,74;64,23;3,11;19,72;662,8101;96,9;61,5;61,3;59,1;62;49,141;10,863
8\1\1959;24,8577;25,0635;24,7115;31,1792;19,414;37,3817;12,2103;23,777;14,5605;30,6652;22,6099;21,1509;44,5224;57,4;79,4676;2,17;2,53;2,07;10,60502395;12,36438276;10,11631317;45156;19049;667;3085;15202;8826;6376;34288;11019;2678;5487,5;2464;8181;40;0,826;64844;59402;5,2;13,7;1607;1113;889;407;482;40;2,9;1465;1430;230;350;474;376;3,5;3,38;3,87;4,42;4,57;4,43;4,43;5,09;0,49;1,04;1,05;0;0,66;141,9;284,2;296,4;40992;11168;10177;38,5;53038,53;20,462;45,602;22,81;15,514;29,180;30,200;21,079;33;33,1;30,8;30,7;145,6425827;102;483,8939229;13,6;64,51918971;57,6;105,49;4,3145;359,84;280,9502;0,9546;59,4;63,74;3,14;19,09;660,5801;96,7;55,1;54,4;57,4;50,9;47,04;10,006
9\1\1959;24,8276;24,9457;24,6243;31,0691;18,8323;37,5975;12,116;23,747;14,5024;30,7056;22,5551;21,5898;44,2133;50,9;79,0489;2,17;2,54;2,08;10,57917317;12,38299532;10,14040562;45189;19052;652,5;3051;15254;8873;6381;34376;11007;2659,7;5483;2470;8239;41;0,805;64770;59323;5,5;13,7;1602;1275;895;449;446;40;2,8;1411;1540;242;362;560;376;3,76;4,04;4,7;5;4,9;4,68;4,52;5,18;0,66;0,96;0,64;-0,16;0,5;141;284,3;296,7;41034;11128;10202;38,7;53683,75;20,512;45,68;22,868;15,553;29,250;30,300;21,131;33,4;33,6;30,8;30,9;146,2306564;101,9;482,2298992;13,4;63,4139416;61,6;105,46;4,325;360,1;280,3704;0,9517;57,05;61,21;3,26;17,1;635,47;96,4;48,3;43,7;57,5;42,3;46,987;10,863
10\1\1959;24,6473;24,8868;24,508;30,9222;19,2686;37,1227;12,0218;23,5065;14,2697;30,1327;22,3632;21,6447;43,9556;50,4;78,1537;2,17;2,56;2,07;10,55498808;12,45196751;10,0685831;45094;18925;655,6;3016;15158;8803;6355;34434;11010;2664,1;5492,8;2477;8265;40;0,758;64911;59556;5,7;12,9;1750;1292;883;436;447;39,6;2,8;1358;1355;254;305;443;353;3,98;4,05;4,53;4,8;4,72;4,53;4,57;5,28;0,48;0,75;0,48;0,04;0,75;140,5;284,2;296,5;40903;11057;10150;38,8;54365,95;20,559;45,647;22,917;15,608;29,350;30,400;21,170;33,1;33,2;30,8;30,7;145,0165328;101,2;478,0349551;13,4;63,29711856;63,1;105,33;4,3388;360,23;280,6265;0,9478;57;61,04;3,26;17,04;637,3401;96,1;49,7;50;58,5;39,1;46,878;10,497
11\1\1959;24,7976;24,6217;24,101;30,2611;16,8934;37,6407;11,8333;24,4383;15,2197;30,1837;22,5277;21,7818;45,6561;51,9;78,5051;2,17;2,57;2,07;10,5483181;12,49270854;10,06222049;45351;19108;686;3025;15300;8922;6378;34527;11031;2669,7;5502,3;2483;8284;40;0,741;64530;59050;5,8;13,1;1745;1205;982;505;477;39,5;2,5;1298;1416;246;326;500;344;4;4,15;4,54;4,81;4,75;4,53;4,56;5,26;0,39;0,66;0,38;0,03;0,73;140,4;285,4;297,1;40822;11052;10194;39,1;54794,81;20,572;45,687;22,894;15,646;29,350;30,400;21,205;33;33,1;30,9;30,5;143,8340014;100,5;473,9448243;13,4;63,19264324;65,1;105,41;4,3404;360,23;280,2676;0,9504;57,23;61,46;3,24;17,15;646,4299;95,8;50,6;51,1;54,6;43,4;45,871;9,869
12\1\1959;26,3305;25,358;24,6824;31,2527;19,0505;37,7701;12,0083;27,0535;18,0116;30,933;24,0624;21,8641;45,0378;61,7;83,5682;2,2;2,56;2,11;10,68064861;12,42839111;10,24371298;45807;19425;694,5;3058;15573;9189;6384;34750;11084;2682;5526,5;2491;8368;40;0,812;65341;59883;5,3;13,1;1657;1122;920;453;467;40;2,7;1394;1601;256;395;592;358;3,99;4,49;4,85;5,14;5,01;4,69;4,58;5,28;0,36;0,65;0,2;-0,11;0,59;140;286,4;297,8;40880;11109;10168;39,5;56010,68;20,598;45,703;22,902;15,687;29,410;30,500;21,238;33;33,1;30,9;30,3;142,6688012;98,7;464,7330257;13,4;63,09445334;63,6;105,45;4,3239;360,23;279,8445;0,9513;59,06;63,56;3,18;17,63;671,3501;98,7;58,2;62,8;53,7;49,1;49,291;10,661
1\1\1960;27,0218;25,9765;25,4092;32,2442;21,1349;37,9428;12,4526;27,835;18,729;31,4081;24,7201;21,6721;44,4709;71,9;85,5616;2,22;2,57;2,13;10,77983879;12,47936292;10,3428183;45967;19491;686;3021;15687;9289;6398;34783;11111;2678;5552,7;2496;8307;41;0,841;65347;59889;5,2;13,5;1638;1045;915;450;465;40;3;1092;1460;274;358;506;322;3,99;4,35;4,74;5,03;4,92;4,72;4,61;5,34;0,39;0,68;0,37;-0,11;0,62;140;286,7;298,2;40794;11081;10194;39,9;56015,58;20,594;45,603;22,887;15,701;29,370;30,500;21,233;33,1;33,2;30,8;30,4;143,1733622;99,6;469,0811473;13,4;63,10931098;63,8;105,46;4,3268;360,36;279,9756;0,9532;58,03;62,27;3,27;17,32;655,3899;101,7;61,5;65,4;46,2;48,3;48,354;9,802
